DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2015-09-01,173.828,2015,9,58475.33333,204536920.3,5.9,237.498,5,68.65274138,212.5,0.14,81.7,124587,68410,34.859,14.3
2015-10-01,174.792,2015,10,58470,204577584.8,5.6,237.733,5,68.72791524,212.4,0.12,81.7,124587,68410,34.859,14.3
2015-11-01,175.738,2015,11,58548,204605179.6,5.5,238.017,5.1,68.87832331,211.7,0.12,81.7,124587,68410,34.859,14.3
2015-12-01,176.544,2015,12,58626,204718625.4,5.1,237.761,5,69.08069257,210.9,0.24,81.7,124587,68410,34.859,14.3
2016-01-01,177.274,2016,1,58704,205107943.3,5.6,237.652,4.8,69.18797106,211.4,0.34,81.9,125819,70840,37.55,14.7
2016-02-01,177.649,2016,2,58731.66667,205160893.8,5.5,237.336,4.9,69.26269071,211.3,0.38,81.9,125819,70840,37.55,14.7
2016-03-01,178.164,2016,3,58759.33333,205293260.6,5.5,238.08,5,69.28180369,211.6,0.36,81.9,125819,70840,37.55,14.7
2016-04-01,178.766,2016,4,58787,205240952.7,5,238.992,5.1,69.17386355,212.7,0.37,81.9,125819,70840,37.55,14.7
2016-05-01,179.429,2016,5,58886,205443695.4,5.1,239.557,4.8,69.28937069,213.7,0.37,81.9,125819,70840,37.55,14.7
2016-06-01,180.084,2016,6,58985,205612263.7,5.3,240.222,4.9,69.19962942,214.6,0.38,81.9,125819,70840,37.55,14.7
2016-07-01,180.834,2016,7,59084,205723009.5,4.5,240.101,4.8,69.2867306,215.3,0.39,81.9,125819,70840,37.55,14.7
2016-08-01,181.85,2016,8,59154.66667,205722118.1,5,240.545,4.9,69.3836583,216,0.4,81.9,125819,70840,37.55,14.7
2016-09-01,182.823,2016,9,59225.33333,205758207.7,5.2,241.176,5,69.42748337,215.3,0.4,81.9,125819,70840,37.55,14.7
2016-10-01,183.75,2016,10,59296,205820559.1,5.2,241.741,4.9,69.42904511,214.8,0.4,81.9,125819,70840,37.55,14.7
2016-11-01,184.759,2016,11,59362,205809150.8,5.2,242.026,4.7,69.554475,214.5,0.41,81.9,125819,70840,37.55,14.7
2016-12-01,185.725,2016,12,59428,205947149.2,5.4,242.637,4.7,69.5643112,215.5,0.54,81.9,125819,70840,37.55,14.7
2017-01-01,186.805,2017,1,59494,205341373.9,5.4,243.618,4.7,69.64525515,217.3,0.65,82.1,126224,72090,35.771,15.1
2017-02-01,187.313,2017,2,59574.66667,205348420.2,5.3,244.006,4.6,69.71667366,218.8,0.66,82.1,126224,72090,35.771,15.1
2017-03-01,187.992,2017,3,59655.33333,205265464.4,5,243.892,4.4,70.0106852,219.7,0.79,82.1,126224,72090,35.771,15.1
2017-04-01,188.724,2017,4,59736,205392169.5,5.4,244.193,4.4,70.08729497,221,0.9,82.1,126224,72090,35.771,15.1
2017-05-01,189.616,2017,5,59857,205501946.7,5.1,244.004,4.4,70.0090435,221.7,0.91,82.1,126224,72090,35.771,15.1
2017-06-01,190.513,2017,6,59978,205688251.2,5.3,244.163,4.3,70.098243,221.9,1.04,82.1,126224,72090,35.771,15.1
2017-07-01,191.45,2017,7,60099,205740836.2,5.8,244.243,4.3,70.17760015,221.9,1.15,82.1,126224,72090,35.771,15.1
2017-08-01,192.663,2017,8,60290.66667,205723613.8,6.1,245.183,4.4,70.15007293,222.4,1.16,82.1,126224,72090,35.771,15.1
2017-09-01,193.759,2017,9,60482.33333,205704970.9,5.3,246.435,4.3,70.47708729,223.1,1.15,82.1,126224,72090,35.771,15.1
2017-10-01,194.805,2017,10,60674,205670408.4,5.5,246.626,4.2,70.263347,223.9,1.15,82.1,126224,72090,35.771,15.1
2017-11-01,195.958,2017,11,60813.66667,205656877.9,4.8,247.284,4.2,70.29971524,223.9,1.16,82.1,126224,72090,35.771,15.1
2017-12-01,197.178,2017,12,60953.33333,205800595.6,5.6,247.805,4.1,70.28072225,224.1,1.3,82.1,126224,72090,35.771,15.1
2018-01-01,198.314,2018,1,61093,206339378.4,6,248.859,4,70.31818008,225.8,1.41,82.3,127586,73030,38.859,15.4
2018-02-01,199.227,2018,2,61174,206307462.8,5.7,249.529,4.1,70.60253429,228.7,1.42,82.3,127586,73030,38.859,15.4
2018-03-01,199.961,2018,3,61255,206369738.2,5.2,249.577,4,70.55277796,231.3,1.51,82.3,127586,73030,38.859,15.4
2018-04-01,200.655,2018,4,61336,206274935.4,5.6,250.227,4,70.57203801,232.4,1.69,82.3,127586,73030,38.859,15.4
2018-05-01,201.423,2018,5,61431.33333,206525428,5.5,250.792,3.8,70.73508493,236.8,1.7,82.3,127586,73030,38.859,15.4
2018-06-01,202.237,2018,6,61526.66667,206661184.7,5.8,251.018,4,70.69788121,239.2,1.82,82.3,127586,73030,38.859,15.4
2018-07-01,202.907,2018,7,61622,206659777.1,6,251.214,3.8,70.86786857,239.6,1.91,82.3,127586,73030,38.859,15.4
2018-08-01,203.688,2018,8,61621,206664712.9,6.5,251.663,3.8,70.56786627,239.4,1.91,82.3,127586,73030,38.859,15.4
2018-09-01,204.353,2018,9,61620,206654330.1,6.6,252.182,3.7,70.76710304,240,1.95,82.3,127586,73030,38.859,15.4
2018-10-01,205.12,2018,10,61619,206620708.2,7.2,252.772,3.8,70.92984439,238.7,2.19,82.3,127586,73030,38.859,15.4
